pk,symbol,name,sector,industry
58,ACAD,ACADIA Pharmaceuticals Inc,Health Care,Biotechnology: Pharmaceutical Preparations
59,ACAH,Atlantic Coastal Acquisition Corp,,
60,ACAHU,Atlantic Coastal Acquisition Corp,,
61,ACAHW,Atlantic Coastal Acquisition Corp,,
62,ACAXU,Alset Capital Acquisition Corp,,
63,ACB,Aurora Cannabis Inc,,
64,ACBA,Ace Global Business Acquisition Limited Ordinary Shares,Miscellaneous,Business Services
65,ACBAU,Ace Global Business Acquisition Limited Unit,Miscellaneous,Business Services
66,ACBAW,Ace Global Business Acquisition Limited Warrant,Miscellaneous,Business Services
67,ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts
68,ACCD,Accolade Inc,,
69,ACCO,Acco Brands Corporation,Consumer Services,Advertising
70,ACDI,Ascendant Digital Acquisition Corp,,
71,ACEL,Accel Entertainment Inc,Consumer Services,Recreational Products/Toys
72,ACER,Acer Therapeutics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
73,ACET,Adicet Bio Inc,Health Care,Biotechnology: Pharmaceutical Preparations
74,ACEV,ACE Convergence Acquisition Corp,Technology,Semiconductors
75,ACEVU,ACE Convergence Acquisition Corp,Technology,Semiconductors
76,ACEVW,ACE Convergence Acquisition Corp,Technology,Semiconductors
77,ACGL,Arch Capital Group Ltd,Finance,Property-Casualty Insurers
78,ACGLN,Arch Capital Group Ltd,Finance,Property-Casualty Insurers
79,ACGLO,Arch Capital Group Ltd,Finance,Property-Casualty Insurers
80,ACH,Aluminum Corporation,Basic Industries,Aluminum
81,ACHC,Acadia Healthcare Company Inc,Health Care,Hospital/Nursing Management
82,ACHL,Achilles Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
83,ACHR,Archer Aviation Inc,Capital Goods,Aerospace
84,ACHV,Achieve Life Sciences Inc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
85,ACI,Albertsons Companies Inc,Consumer Services,Food Chains
86,ACII,Atlas Crest Investment Corp,,
87,ACIU,AC Immune SA,Health Care,Biotechnology: Pharmaceutical Preparations
88,ACIW,ACI Worldwide Inc,Technology,EDP Services
89,ACKIT,Ackrell SPAC Partners I Co,,
90,ACKIU,Ackrell SPAC Partners I Co,,
91,ACKIW,Ackrell SPAC Partners I Co,,
92,ACLS,Axcelis Technologies Inc,Technology,Industrial Machinery/Components
93,ACLX,Arcellx Inc,Health Care,Biotechnology: Pharmaceutical Preparations
94,ACM,AECOM,Consumer Services,Military/Government/Technical
95,ACMR,ACM Research Inc,Technology,Industrial Machinery/Components
96,ACN,Accenture plc Class A Ordinary Shares (Ireland),Miscellaneous,Business Services
97,ACNB,ACNB Corporation,Finance,Major Banks
98,ACOR,Acorda Therapeutics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
99,ACP,Aberdeen Income Credit Strategies Fd,Finance,Investment Managers
100,ACP^A,Aberdeen Income Credit Strategies Fund 5,,
101,ACQR,Independence Holdings Corp,Finance,Business Services
150,ADRA,Adara Acquisition Corp,,
102,ACQRU,Independence Holdings Corp,Finance,Business Services
103,ACQRW,Independence Holdings Corp,Finance,Business Services
104,ACR,ACRES Commercial Realty Corp,Consumer Services,Real Estate Investment Trusts
105,ACR^C,ACRES Commercial Realty Corp,,
106,ACR^D,ACRES Commercial Realty Corp,,
107,ACRE,Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts
108,ACRO,Acropolis Infrastructure Acquisition Corp,,
109,ACRS,Aclaris Therapeutics Inc,Health Care,Biotechnology: Commercial Physical & Biological Resarch
110,ACRX,AcelRx Pharmaceuticals Inc,Consumer Durables,Specialty Chemicals
111,ACST,Acasti Pharma Inc,,
112,ACT,Enact Holdings Inc,Finance,Specialty Insurers
113,ACTD,ArcLight Clean Transition Corp,,
114,ACTDU,ArcLight Clean Transition Corp,,
115,ACTDW,ArcLight Clean Transition Corp,Finance,Business Services
116,ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies
117,ACU,Acme United Corporation,Consumer Durables,Home Furnishings
118,ACV,Virtus AllianzGI Diversified Income & Convertible Fd,Finance,Finance/Investors Services
119,ACVA,ACV Auctions Inc,Technology,EDP Services
120,ACXP,Acurx Pharmaceuticals Inc,Health Care,Biotechnology: Pharmaceutical Preparations
121,ACY,AeroCentury Corp,Technology,Diversified Commercial Services
122,ADAG,Adagene Inc,Health Care,Biotechnology: Pharmaceutical Preparations
123,ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,,
124,ADALU,Anthemis Digital Acquisitions I Corp Unit,,
125,ADALW,Anthemis Digital Acquisitions I Corp Warrant,,
126,ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Pharmaceutical Preparations
127,ADBE,Adobe Inc,Technology,Computer Software: Prepackaged Software
128,ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts
129,ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4,,
130,ADCT,ADC Therapeutics SA Common Shares,Health Care,Biotechnology: Pharmaceutical Preparations
131,ADER,26 Capital Acquisition Corp,,
132,ADERU,26 Capital Acquisition Corp,,
133,ADERW,26 Capital Acquisition Corp,,
134,ADES,Advanced Emissions Solutions Inc,Basic Industries,Industrial Specialties
135,ADEX,Adit EdTech Acquisition Corp,,
136,ADGI,Adagio Therapeutics Inc,Health Care,Biotechnology: Pharmaceutical Preparations
137,ADI,Analog Devices Inc,Technology,Semiconductors
138,ADIL,Adial Pharmaceuticals Inc,Health Care,Biotechnology: Pharmaceutical Preparations
139,ADILW,Adial Pharmaceuticals Inc Warrant,Health Care,Biotechnology: Pharmaceutical Preparations
140,ADM,Archer-Daniels-Midland Company,,
141,ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Pharmaceutical Preparations
142,ADMP,Adamis Pharmaceuticals Corporation,Health Care,Biotechnology: Pharmaceutical Preparations
143,ADN,Advent Technologies Holdings Inc,,
144,ADNT,Adient plc Ordinary Shares,Capital Goods,Auto Parts:O.E.M.
145,ADNWW,Advent Technologies Holdings Inc,,
146,ADOC,Edoc Acquisition Corp,Finance,Business Services
147,ADOCW,Edoc Acquisition Corp,Finance,Business Services
148,ADP,Automatic Data Processing Inc,Miscellaneous,Business Services
149,ADPT,Adaptive Biotechnologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
151,ADRT,Ault Disruptive Technologies Corporation,,
152,ADS,Alliance Data Systems Corporation,Finance,Diversified Financial Services
153,ADSE,ADS-TEC ENERGY PLC Ordinary Shares,,
154,ADSEW,ADS-TEC ENERGY PLC Warrant,,
155,ADSK,Autodesk Inc,Technology,Computer Software: Prepackaged Software
156,ADT,ADT Inc,Consumer Services,Diversified Commercial Services
157,ADTH,AdTheorent Holding Company Inc,Technology,Advertising
158,ADTHW,AdTheorent Holding Company Inc,Technology,Advertising
159,ADTN,ADTRAN Inc,Capital Goods,Telecommunications Equipment
160,ADTX,Aditxt Inc,Consumer Durables,Specialty Chemicals
161,ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services
162,ADV,Advantage Solutions Inc,Technology,Advertising
163,ADVM,Adverum Biotechnologies Inc,Health Care,Biotechnology: Pharmaceutical Preparations
164,ADVWW,Advantage Solutions Inc,Technology,Advertising
165,ADX,Adams Diversified Equity Fund Inc,Finance,Investment Managers
166,ADXN,Addex Therapeutics Ltd,Health Care,Biotechnology: Pharmaceutical Preparations
167,AE,Adams Resources & Energy Inc,Energy,Oilfield Services/Equipment
168,AEAC,Authentic Equity Acquisition Corp,Finance,Business Services
169,AEACU,Authentic Equity Acquisition Corp,Finance,Business Services
170,AEACW,Authentic Equity Acquisition Corp,Finance,Business Services
171,AEAE,AltEnergy Acquisition Corp,,
172,AEAEU,AltEnergy Acquisition Corp,,
173,AEAEW,AltEnergy Acquisition Corp,,
174,AEE,Ameren Corporation,Public Utilities,Power Generation
175,AEF,Aberdeen Emerging Markets Equity Income Fund Inc,Finance,Finance/Investors Services
176,AEFC,Aegon Funding Company LLC 5,,
177,AEG,AEGON N,Finance,Life Insurance
178,AEHA,Aesther Healthcare Acquisition Corp Class A,,
179,AEHAU,Aesther Healthcare Acquisition Corp Units,,
180,AEHAW,Aesther Healthcare Acquisition Corp Warrants,,
181,AEHL,Antelope Enterprise Holdings Limited  (0,Capital Goods,Building Products
182,AEHR,Aehr Test Systems,Capital Goods,Electrical Products
183,AEI,Alset EHome International Inc,Consumer Services,Building operators
184,AEIS,Advanced Energy Industries Inc,Consumer Durables,Electrical Products
185,AEL,American Equity Investment Life Holding Company,Finance,Life Insurance
186,AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5,,
187,AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6,,
188,AEM,Agnico Eagle Mines Limited,,
189,AEMD,Aethlon Medical Inc,Miscellaneous,Diversified Commercial Services
190,AENZ,Aenza S,Capital Goods,Engineering & Construction
191,AEO,American Eagle Outfitters Inc,Consumer Services,Clothing/Shoe/Accessory Stores
192,AEP,American Electric Power Company Inc,Public Utilities,Electric Utilities: Central
193,AEPPZ,American Electric Power Company Inc,Public Utilities,Electric Utilities: Central
194,AER,AerCap Holdings N,Technology,Diversified Commercial Services
195,AERC,AeroClean Technologies Inc,Public Utilities,Environmental Services
196,AERI,Aerie Pharmaceuticals Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
197,AES,The AES Corporation,Public Utilities,Electric Utilities: Central
198,AESC,The AES Corporation,Public Utilities,Electric Utilities: Central
199,AESE,Allied Esports Entertainment Inc,Consumer Services,Television Services
200,AEVA,Aeva Technologies Inc,Capital Goods,Auto Parts:O.E.M.
201,AEY,ADDvantage Technologies Group Inc,Capital Goods,Recreational Products/Toys
202,AEYE,AudioEye Inc,Technology,EDP Services
203,AEZS,Aeterna Zentaris Inc,,
204,AFAC,Arena Fortify Acquisition Corp,Consumer Services,Other Pharmaceuticals
205,AFACU,Arena Fortify Acquisition Corp,Consumer Services,Other Pharmaceuticals
206,AFACW,Arena Fortify Acquisition Corp,Consumer Services,Other Pharmaceuticals
207,AFAQ,AF Acquisition Corp,,
208,AFAQU,AF Acquisition Corp,,
209,AFAQW,AF Acquisition Corp,,
210,AFB,AllianceBernstein National Municipal Income Fd,Finance,Trusts Except Educational Religious and Charitable
211,AFBI,Affinity Bancshares Inc,Finance,Major Banks
212,AFCG,AFC Gamma Inc,Consumer Services,Real Estate Investment Trusts
213,AFG,American Financial Group Inc,Finance,Property-Casualty Insurers
214,AFGB,American Financial Group Inc,Finance,Property-Casualty Insurers
215,AFGC,American Financial Group Inc,Finance,Real Estate
216,AFGD,American Financial Group Inc,Finance,Property-Casualty Insurers
217,AFGE,American Financial Group Inc,,
218,AFI,Armstrong Flooring Inc,Capital Goods,Building Products
219,AFIB,Acutus Medical Inc,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
220,AFL,AFLAC Incorporated,Finance,Accident &Health Insurance
221,AFMD,Affimed N,Health Care,Biotechnology: Pharmaceutical Preparations
222,AFRM,Affirm Holdings Inc,Technology,EDP Services
223,AFT,Apollo Senior Floating Rate Fund Inc,Finance,Investment Managers
224,AFTR,AfterNext HealthTech Acquisition Corp,,
225,AFYA,Afya Limited Class A Common Shares,Consumer Services,Other Consumer Services
226,AG,First Majestic Silver Corp,,
227,AGAC,African Gold Acquisition Corporation,Finance,Business Services
228,AGBA,AGBA Acquisition Limited Ordinary Share,Finance,Business Services
229,AGBAR,AGBA Acquisition Limited Right,Finance,Business Services
230,AGBAW,AGBA Acquisition Limited Warrant,Finance,Business Services
231,AGCB,Altimeter Growth Corp,Finance,Business Services
232,AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components
233,AGD,Aberdeen Global Dynamic Dividend Fd,Finance,Trusts Except Educational Religious and Charitable
234,AGE,AgeX Therapeutics Inc,Health Care,Biotechnology: Pharmaceutical Preparations
235,AGEN,Agenus Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
236,AGFS,AgroFresh Solutions Inc,,
237,AGFY,Agrify Corporation,Consumer Services,Military/Government/Technical
238,AGGR,Agile Growth Corp,Finance,Business Services
239,AGGRU,Agile Growth Corp,Finance,Business Services
240,AGGRW,Agile Growth Corp,Finance,Business Services
241,AGI,Alamos Gold Inc,,
242,AGIL,AgileThought Inc,Technology,EDP Services
243,AGILW,AgileThought Inc,Technology,EDP Services
244,AGIO,Agios Pharmaceuticals Inc,Health Care,Biotechnology: Pharmaceutical Preparations
245,AGL,agilon health inc,Health Care,Managed Health Care
246,AGLE,Aeglea BioTherapeutics Inc,Health Care,Biotechnology: Pharmaceutical Preparations
450,AMP,Ameriprise Financial Inc,Finance,Investment Managers
247,AGM,Federal Agricultural Mortgage Corporation,Finance,Finance Companies
248,AGM^C,Federal Agricultural Mortgage Corporation,,
249,AGM^D,Federal Agricultural Mortgage Corporation 5,,
250,AGM^E,Federal Agricultural Mortgage Corporation 5,,
251,AGM^F,Federal Agricultural Mortgage Corporation 5,,
252,AGM^G,Federal Agricultural Mortgage Corporation 4,,
253,AGMH,AGM Group Holdings Inc,Technology,EDP Services
254,AGNC,AGNC Investment Corp,Consumer Services,Real Estate Investment Trusts
255,AGNCM,AGNC Investment Corp,Consumer Services,Real Estate Investment Trusts
256,AGNCN,AGNC Investment Corp,Consumer Services,Real Estate Investment Trusts
257,AGNCO,AGNC Investment Corp,Consumer Services,Real Estate Investment Trusts
258,AGNCP,AGNC Investment Corp,Consumer Services,Real Estate Investment Trusts
259,AGO,Assured Guaranty Ltd,Finance,Property-Casualty Insurers
260,AGR,Avangrid Inc,Public Utilities,Electric Utilities: Central
261,AGRI,AgriFORCE  Growing Systems Ltd,,
262,AGRIW,AgriFORCE  Growing Systems Ltd,,
263,AGRO,Adecoagro S,,Farming/Seeds/Milling
264,AGRX,Agile Therapeutics Inc,Health Care,Biotechnology: Pharmaceutical Preparations
265,AGS,PlayAGS Inc,Consumer Services,Recreational Products/Toys
266,AGTC,Applied Genetic Technologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
267,AGTI,Agiliti Inc,Health Care,Managed Health Care
268,AGX,Argan Inc,Capital Goods,Oilfield Services/Equipment
269,AGYS,Agilysys Inc,Technology,Computer Software: Prepackaged Software
270,AHCO,AdaptHealth Corp,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
271,AHG,Akso Health Group ADS,Finance,Finance: Consumer Services
272,AHH,Armada Hoffler Properties Inc,Consumer Services,Real Estate Investment Trusts
273,AHH^A,Armada Hoffler Properties Inc,,
274,AHI,Advanced Human Imaging Limited,,
275,AHL^C,Aspen Insurance Holdings Limited 5,,
276,AHL^D,Aspen Insurance Holdings Limited 5,,
277,AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5,,
278,AHPA,Avista Public Acquisition Corp,,
279,AHPAU,Avista Public Acquisition Corp,,
280,AHPAW,Avista Public Acquisition Corp,,
281,AHPI,Allied Healthcare Products Inc,Health Care,Industrial Specialties
282,AHRN,Ahren Acquisition Corp,,
283,AHRNU,Ahren Acquisition Corp,,
284,AHRNW,Ahren Acquisition Corp,,
285,AHT,Ashford Hospitality Trust Inc,Consumer Services,Real Estate Investment Trusts
286,AHT^D,Ashford Hospitality Trust Inc 8,,
287,AHT^F,Ashford Hospitality Trust Inc 7,,
288,AHT^G,Ashford Hospitality Trust Inc 7,,
289,AHT^H,Ashford Hospitality Trust Inc 7,,
290,AHT^I,Ashford Hospitality Trust Inc 7,,
291,AI,C3,Technology,Computer Software: Prepackaged Software
292,AIB,AIB Acquisition Corporation,,
293,AIBBR,AIB Acquisition Corporation,,
294,AIC,Arlington Asset Investment Corp 6,Consumer Services,Real Estate Investment Trusts
295,AIF,Apollo Tactical Income Fund Inc,Finance,Finance Companies
602,ARGUW,Argus Capital Corp,,
296,AIG,American International Group Inc,Finance,Life Insurance
297,AIG^A,American International Group Inc,,
298,AIH,Aesthetic Medical International Holdings Group Ltd,Health Care,Medical Specialities
299,AIHS,Senmiao Technology Limited,Finance,Finance: Consumer Services
300,AIKI,AIkido Pharma Inc,Consumer Durables,Specialty Chemicals
301,AIM,AIM ImmunoTech Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
302,AIMC,Altra Industrial Motion Corp,Capital Goods,Industrial Machinery/Components
303,AIN,Albany International Corporation,Basic Industries,Textiles
304,AINC,Ashford Inc,Finance,Investment Managers
305,AINV,Apollo Investment Corporation,Finance,Finance/Investors Services
306,AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fd,Finance,Finance/Investors Services
307,AIP,Arteris Inc,Technology,Semiconductors
308,AIR,AAR Corp,Capital Goods,Aerospace
309,AIRC,Apartment Income REIT Corp,Consumer Services,Real Estate Investment Trusts
310,AIRG,Airgain Inc,Technology,Radio And Television Broadcasting And Communications Equipment
311,AIRI,Air Industries Group,Capital Goods,Military/Government/Technical
312,AIRS,AirSculpt Technologies Inc,Health Care,Hospital/Nursing Management
313,AIRT,Air T Inc,Transportation,Air Freight/Delivery Services
314,AIRTP,Air T Inc,Transportation,Air Freight/Delivery Services
315,AIT,Applied Industrial Technologies Inc,Capital Goods,Industrial Machinery/Components
316,AIV,Apartment Investment and Management Company,Consumer Services,Real Estate Investment Trusts
317,AIZ,Assurant Inc,Finance,Specialty Insurers
318,AIZN,Assurant Inc,Finance,Accident &Health Insurance
319,AJG,Arthur J,Finance,Specialty Insurers
320,AJRD,Aerojet Rocketdyne Holdings Inc,Capital Goods,Military/Government/Technical
321,AJX,Great Ajax Corp,Consumer Services,Real Estate Investment Trusts
322,AJXA,Great Ajax Corp,Consumer Services,Real Estate Investment Trusts
323,AKA,a,Consumer Non-Durables,Department/Specialty Retail Stores
324,AKAM,Akamai Technologies Inc,Miscellaneous,Business Services
325,AKAN,Akanda Corp,,
326,AKBA,Akebia Therapeutics Inc,Health Care,Biotechnology: Pharmaceutical Preparations
327,AKIC,Sports Ventures Acquisition Corp,Finance,Business Services
328,AKICU,Sports Ventures Acquisition Corp,Finance,Business Services
329,AKICW,Sports Ventures Acquisition Corp,Finance,Business Services
330,AKO/A,Embotelladora Andina S,,
331,AKO/B,Embotelladora Andina S,,
332,AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts
333,AKRO,Akero Therapeutics Inc,Health Care,Biotechnology: Pharmaceutical Preparations
334,AKTS,Akoustis Technologies Inc,Public Utilities,Telecommunications Equipment
335,AKTX,Akari Therapeutics plc ADS,Health Care,Biotechnology: Pharmaceutical Preparations
336,AKU,Akumin Inc,,
337,AKUS,Akouos Inc,Consumer Durables,Specialty Chemicals
338,AKYA,Akoya BioSciences Inc,Capital Goods,Medical Specialities
339,AL,Air Lease Corporation,Technology,Diversified Commercial Services
340,AL^A,Air Lease Corporation 6,,
341,ALAC,Alberton Acquisition Corporation,Basic Industries,Engineering & Construction
342,ALACW,Alberton Acquisition Corporation,Basic Industries,Engineering & Construction
343,ALB,Albemarle Corporation,Basic Industries,Industrial Specialties
344,ALBO,Albireo Pharma Inc,Health Care,Biotechnology: Pharmaceutical Preparations
345,ALC,Alcon Inc,Health Care,Ophthalmic Goods
346,ALCC,AltC Acquisition Corp,,
347,ALCO,Alico Inc,,
348,ALDX,Aldeyra Therapeutics Inc,Health Care,Biotechnology: Pharmaceutical Preparations
349,ALE,Allete Inc,Public Utilities,Power Generation
350,ALEC,Alector Inc,Health Care,Biotechnology: Pharmaceutical Preparations
351,ALEX,Alexander & Baldwin Inc,Consumer Services,Real Estate Investment Trusts
352,ALF,ALFI Inc,Technology,EDP Services
353,ALFIW,ALFI Inc,Technology,EDP Services
354,ALG,Alamo Group Inc,Capital Goods,Industrial Machinery/Components
355,ALGM,Allegro MicroSystems Inc,Technology,Semiconductors
356,ALGN,Align Technology Inc,Health Care,Industrial Specialties
357,ALGS,Aligos Therapeutics Inc,Health Care,Biotechnology: Pharmaceutical Preparations
358,ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services
359,ALHC,Alignment Healthcare Inc,Health Care,Medical Specialities
360,ALIM,Alimera Sciences Inc,Health Care,Biotechnology: Pharmaceutical Preparations
361,ALIN^A,Altera Infrastructure L,,
362,ALIN^B,Altera Infrastructure L,,
363,ALIN^E,Altera Infrastructure L,,
364,ALIT,Alight Inc,Technology,EDP Services
365,ALJJ,ALJ Regional Holdings Inc,Miscellaneous,Business Services
366,ALK,Alaska Air Group Inc,Transportation,Air Freight/Delivery Services
367,ALKS,Alkermes plc Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
368,ALKT,Alkami Technology Inc,Technology,EDP Services
369,ALL,Allstate Corporation,Finance,Property-Casualty Insurers
370,ALL^B,Allstate Corporation (The) 5,,
371,ALL^G,Allstate Corporation,,
372,ALL^H,Allstate Corporation,,
373,ALL^I,Allstate Corporation,,
374,ALLE,Allegion plc Ordinary Shares,Consumer Services,Diversified Commercial Services
375,ALLG,Allego N,,
376,ALLK,Allakos Inc,Health Care,Biotechnology: Pharmaceutical Preparations
377,ALLO,Allogene Therapeutics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
378,ALLR,Allarity Therapeutics Inc,Health Care,Biotechnology: Pharmaceutical Preparations
379,ALLT,Allot Ltd,Public Utilities,Telecommunications Equipment
380,ALLY,Ally Financial Inc,Finance,Diversified Financial Services
381,ALNA,Allena Pharmaceuticals Inc,Health Care,Biotechnology: Pharmaceutical Preparations
382,ALNY,Alnylam Pharmaceuticals Inc,Health Care,Biotechnology: Pharmaceutical Preparations
383,ALOR,ALSP Orchid Acquisition Corporation,,
384,ALORU,ALSP Orchid Acquisition Corporation,,
385,ALORW,ALSP Orchid Acquisition Corporation,,
386,ALOT,AstroNova Inc,Technology,Computer peripheral equipment
387,ALP^Q,Alabama Power Company 5,,
388,ALPA,Alpha Healthcare Acquisition Corp,,
389,ALPAU,Alpha Healthcare Acquisition Corp,,
390,ALPAW,Alpha Healthcare Acquisition Corp,,
391,ALPN,Alpine Immune Sciences Inc,Health Care,Biotechnology: Pharmaceutical Preparations
392,ALPP,Alpine 4 Holdings Inc,Capital Goods,Metal Fabrications
393,ALR,AlerisLife Inc,Health Care,Hospital/Nursing Management
394,ALRM,Alarm,Technology,Computer Software: Prepackaged Software
395,ALRN,Aileron Therapeutics Inc,Health Care,Biotechnology: Pharmaceutical Preparations
396,ALRS,Alerus Financial Corporation,Finance,Commercial Banks
397,ALSA,Alpha Star Acquisition Corporation,,
398,ALSAR,Alpha Star Acquisition Corporation,,
399,ALSAU,Alpha Star Acquisition Corporation,,
400,ALSAW,Alpha Star Acquisition Corporation,,
705,ATCO^I,Atlas Corp,,
401,ALSN,Allison Transmission Holdings Inc,Capital Goods,Auto Parts:O.E.M.
402,ALT,Altimmune Inc,Health Care,Biotechnology: Pharmaceutical Preparations
403,ALTG,Alta Equipment Group Inc,Technology,Engineering & Construction
404,ALTG^A,Alta Equipment Group Inc,,
405,ALTO,Alto Ingredients Inc,Basic Industries,Industrial Specialties
406,ALTR,Altair Engineering Inc,Technology,Computer Software: Prepackaged Software
407,ALTU,Altitude Acquisition Corp,,
408,ALTUU,Altitude Acquisition Corp,,
409,ALTUW,Altitude Acquisition Corp,,
410,ALV,Autoliv Inc,Capital Goods,Auto Parts:O.E.M.
411,ALVR,AlloVir Inc,Health Care,Biotechnology: Pharmaceutical Preparations
412,ALX,Alexander's Inc,Consumer Services,Real Estate Investment Trusts
413,ALXO,ALX Oncology Holdings Inc,Health Care,Biotechnology: Pharmaceutical Preparations
414,ALYA,Alithya Group inc,,
415,ALZN,Alzamend Neuro Inc,Consumer Durables,Specialty Chemicals
416,AM,Antero Midstream Corporation,Public Utilities,Natural Gas Distribution
417,AMAL,Amalgamated Financial Corp,Finance,Commercial Banks
418,AMAM,Ambrx Biopharma Inc,,
419,AMAO,American Acquisition Opportunity Inc,,
420,AMAOU,American Acquisition Opportunity Inc,,
421,AMAOW,American Acquisition Opportunity Inc,Finance,Business Services
422,AMAT,Applied Materials Inc,Capital Goods,Industrial Machinery/Components
